"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"3762","NEF_GloFung-its2_545_2021",-0.62,-72.4,33,393,534,228,675,43,265
"3762.1","NEF_GloFung-its2_545_2021",-0.62,-72.4,33,393,534,228,675,43,265
"3764","NEF_GloFung-its2_546_2021",-0.64,-72.07,33,418,477,234,531,41,257
"3765","NEF_GloFung-its2_547_2021",-0.63,-72.09,33,416,436,245,731,41,287
"3766","NEF_GloFung-its2_548_2021",-0.56,-72.11,33,377,460,238,566,41,284
"3764.1","NEF_GloFung-its2_546_2021",-0.64,-72.07,33,418,477,234,531,41,257
"3768","NEF_GloFung-its2_549_2021",6.7,-75.47,47,499,332,234,988,52,323
"3769","NEF_GloFung-its2_550_2021",6.71,-75.47,47,565,312,239,1070,54,361
"3770","NEF_GloFung-its2_551_2021",6.75,-75.49,47,566,334,229,1179,53,348
"3771","NEF_GloFung-its2_552_2021",4.87,-75.13,45,589,334,318,1003,54,314
"3773","NEF_GloFung-its2_554_2021",4.87,-75.17,45,612,383,318,1173,55,286
"3775","NEF_GloFung-its2_556_2021",4.87,-75.25,45,481,468,284,931,59,291
"3747.1","NEF_GloFung-its2_532_2021",-4.05,-69.99,40,351,338,189,470,43,357
"3748.2","NEF_GloFung-its2_533_2021",-4,-69.9,40,339,443,199,420,42,272
"3746.1","NEF_GloFung-its2_531_2021",-4,-69.89,40,362,426,201,397,42,296
